id,label,comment,ancestors,supertypes,subtypes,properties
MensClothingStore,Mens Clothing Store,A men's clothing store.,Thing Organization LocalBusiness Store,Store,,
Canal,Canal,,Thing Place Landform BodyOfWater,BodyOfWater,,
Mountain,Mountain,"A mountain, like Mount Whitney or Mount Everest",Thing Place Landform,Landform,,
UserPlays,User Plays,"User interaction: Play count of an item, for example a video or a song.",Thing Event UserInteraction,UserInteraction,,
ShoppingCenter,Shopping Center,A shopping center or mall.,Thing Organization LocalBusiness,LocalBusiness,,
TireShop,Tire Shop,A tire shop.,Thing Organization LocalBusiness Store,Store,,
TouristAttraction,Tourist Attraction,A tourist attraction.,Thing Place,Place,,
HealthClub,Health Club,A health club.,Thing Organization LocalBusiness HealthAndBeautyBusiness,SportsActivityLocation HealthAndBeautyBusiness,,
Review,Review,"A review of an item - for example, a restaurant, movie, or store.",Thing CreativeWork,CreativeWork,,itemReviewed reviewBody reviewRating
MovingCompany,Moving Company,A moving company.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness,,
SportsActivityLocation,Sports Activity Location,"A sports location, such as a playing field.",Thing Organization LocalBusiness,LocalBusiness,BowlingAlley ExerciseGym GolfCourse HealthClub PublicSwimmingPool SkiResort SportsClub StadiumOrArena TennisComplex,
